1,0.053273,0.053273,0.052847,0.052732,0.049622,0.049622,0.049622,0.049264,0.049264,0.049264,0.049264,0.049264,0.049264,0.049264,0.049264,0.049264,0.048909,0.048909,0.048909,0.048909
2,0.053326,0.049836,0.049836,0.049836,0.049836,0.049830,0.049830,0.049825,0.049825,0.049825,0.049825,0.049821,0.049821,0.049821,0.049821,0.049817,0.049817,0.049817,0.049817,0.049817
3,0.067394,0.059902,0.052720,0.051589,0.050563,0.050213,0.049278,0.049267,0.049267,0.049265,0.049265,0.049258,0.049258,0.049258,0.049258,0.048363,0.048058,0.047165,0.041839,0.038820
4,0.071296,0.066432,0.066424,0.053450,0.050070,0.049344,0.049123,0.049122,0.049121,0.049111,0.049110,0.048838,0.047905,0.046062,0.045191,0.044682,0.044065,0.041545,0.041490,0.037620
5,0.086414,0.062718,0.062473,0.060424,0.058302,0.055130,0.055130,0.050138,0.049885,0.047991,0.047144,0.045339,0.044690,0.044630,0.041159,0.040691,0.039406,0.037673,0.036267,0.034395
6,0.078556,0.073044,0.057899,0.057021,0.056798,0.056749,0.056713,0.054935,0.054935,0.050125,0.050087,0.045356,0.044905,0.041560,0.041245,0.041223,0.040885,0.034254,0.033554,0.030157
7,0.074450,0.061346,0.059193,0.058853,0.056438,0.056217,0.054375,0.054119,0.053811,0.053129,0.051324,0.050389,0.048231,0.046092,0.041172,0.040476,0.039337,0.035679,0.034594,0.030776
8,0.074176,0.065952,0.061297,0.056327,0.056236,0.054500,0.053236,0.052480,0.051819,0.051215,0.049690,0.049407,0.048781,0.047123,0.044527,0.042227,0.042226,0.038868,0.030133,0.029780
9,0.073386,0.068521,0.061716,0.059971,0.058608,0.056637,0.053682,0.049465,0.049388,0.048724,0.048669,0.048433,0.045661,0.045083,0.043534,0.041154,0.038478,0.038188,0.036410,0.034290
10,0.066861,0.066604,0.063674,0.062707,0.060932,0.052329,0.050538,0.050252,0.050201,0.049499,0.048511,0.047586,0.046823,0.046385,0.044691,0.044224,0.039539,0.038460,0.035342,0.034845
11,0.069875,0.069098,0.067782,0.064733,0.053201,0.053201,0.052540,0.051380,0.050809,0.047933,0.047604,0.047441,0.046763,0.045436,0.043557,0.039654,0.039102,0.038291,0.035932,0.035665
