generation,Wmax,Wmin,Pmax,Pmin,Fmax,Fmin,Wmean,Pmean,Fmean,Max_CVM,Mean_CVM,Min_CVM,Fit_maxPareto,Fit_meanPareto,fitValue,NWmax,NWmin,NPmax,NPmin,NFmax,NFmin,NWmean,NPmean,NFmean
24,122.692538,5.988202,961.197160,604.735755,4.930094,1.384228,22.501926,769.256335,3.502176,12.000000,5.200000,3.000000,1084.561198,797.919563,613.461990,0.350437,0.017104,2.745391,1.727259,0.014081,0.003954,0.064270,2.197166,0.010003
25,107.417608,6.074513,876.874792,628.045526,4.086395,2.200687,23.317849,741.946262,3.509004,9.000000,4.950000,3.000000,915.175222,767.522789,594.303116,0.353313,0.019980,2.884179,2.065740,0.013441,0.007238,0.076696,2.440378,0.011542
26,52.674588,6.057402,941.640882,559.485115,4.243720,2.404596,12.596931,718.202117,3.470547,12.000000,5.300000,2.000000,966.740608,732.066123,568.039515,0.376646,0.043313,6.733145,4.000564,0.030344,0.017194,0.090074,5.135460,0.024816
27,28.672614,6.038377,941.743234,634.823826,4.727265,3.234061,9.013948,751.194703,3.861134,12.000000,5.450000,3.000000,967.989185,762.569449,547.735587,0.422260,0.088927,13.869008,9.349021,0.069618,0.047628,0.132748,11.062809,0.056863
28,24.309681,6.033709,832.556780,489.918367,4.423436,2.504659,7.083712,660.661788,3.526500,8.000000,4.350000,2.000000,858.349344,670.250225,498.051219,0.443381,0.110048,15.184906,8.935564,0.080679,0.045682,0.129199,12.049734,0.064319
29,6.513833,6.053235,786.870150,441.278577,4.447382,2.381974,6.239849,605.553198,3.365348,6.000000,4.150000,3.000000,791.994779,602.391110,444.983622,4.714045,4.380712,569.456007,319.352229,3.218560,1.723828,4.515763,438.237371,2.435494
30,6.668880,6.102705,714.920589,396.027937,4.364671,2.094616,6.265435,578.441885,3.188524,7.000000,4.600000,3.000000,721.073487,575.837324,400.476955,3.926278,3.592945,420.906828,233.159970,2.569684,1.233197,3.688752,340.555500,1.877232
31,6.668880,6.077421,748.634877,396.027937,4.099674,2.094616,6.325828,545.169477,2.970032,6.000000,4.650000,3.000000,754.664270,540.689129,400.643731,3.758433,3.425099,421.913979,223.192544,2.310485,1.180479,3.565096,307.245401,1.673844
32,6.668880,6.173329,638.575541,396.027937,3.437543,2.092158,6.378591,511.173148,2.777947,7.000000,4.950000,3.000000,642.971301,520.433306,399.573863,4.485830,4.152497,429.538586,266.388656,2.312268,1.407292,4.290566,343.841217,1.868589
33,6.788420,6.173329,638.575541,369.329016,3.436419,2.042700,6.379110,513.939125,2.778744,8.000000,4.850000,2.000000,643.894019,511.698537,373.868867,3.678816,3.345483,346.060220,200.148725,1.862282,1.106991,3.457001,278.516597,1.505871
34,6.788420,6.202238,611.876620,369.329016,3.331319,1.995898,6.383544,507.264394,2.740005,7.000000,4.900000,3.000000,616.877501,507.437159,373.580117,3.860245,3.526912,347.944586,210.019516,1.894360,1.134970,3.630012,288.456682,1.558108
35,6.788420,6.229451,588.566849,369.329016,3.150377,2.042700,6.408470,495.796156,2.680075,7.000000,5.300000,3.000000,593.055582,486.526043,373.217777,4.048184,3.714850,350.984009,220.244445,1.878685,1.218137,3.821606,295.661441,1.598227
36,6.788420,6.229451,588.566849,369.329016,3.150377,2.041822,6.482562,466.696193,2.506181,7.000000,4.650000,3.000000,593.056333,460.120120,373.218529,4.048184,3.714850,350.984009,220.244445,1.878685,1.217613,3.865790,278.308065,1.494528
37,6.940406,6.339624,516.617288,342.630095,2.920236,1.810201,6.576815,431.357530,2.328836,8.000000,5.200000,3.000000,521.159702,419.132435,346.663256,3.850764,3.517431,286.636201,190.102404,1.620242,1.004359,3.649033,239.331292,1.292114
38,6.940406,6.346886,513.228138,342.630095,2.802891,1.814938,6.605250,422.702516,2.284571,7.000000,4.550000,2.000000,517.514425,404.012555,346.539065,3.897882,3.564548,288.239996,192.428454,1.574164,1.019308,3.709651,237.398853,1.283065
39,7.140123,6.339624,516.617288,315.931174,2.855311,1.624403,6.636712,415.507560,2.233023,9.000000,5.700000,3.000000,522.207716,411.515538,321.091192,2.973197,2.639864,215.123032,131.555938,1.188971,0.676413,2.763573,173.020238,0.929846
